building,descr,zvykkod,room
00008025,SKLAD,1.56,PHA0250161
00008029,Výtah,128,PHA0290039
00008133,WC Muži,16,PHA1330016
00008189,Chodba,2.01,PHA1890033
00008240,Sklad,15,ZAT2400168
00008248,garáž,0,TEP2480001
00008273,Sklad,1.14,HLI2730004
00008293,WC,112224,PAR2930064
00008300,Výtah,5031,RKN3000108
00008346,VÝTAH,0,BRN3460005
00008346,VÝTAH,0,BRN3460335
00008414,TOP AFF,205,VYS4140068
00008462,Chodba,218,OPA4620155
00008612,ÚKLID,222,HAV6120047
00008971,Chodba,105,HUS9710005
00008007,WC,44136,BRN0070011
00008482,CHODBA,2412,PHA4820980
00008605,ATM,110008B,HLC6050059
00008477,WC ženy,7,ZAB4770015
00008000,FIKTIVNÍ MÍSTNOST,0,AAA0000000
00008000,Fiktivní místnost - ATM,0,AAA0000001
00008000,Fiktivní místnost - Platební terminály,0,AAA0000002
00008000,Fiktivní místnost,0,BBB0000001
00008000,Fiktivní místnost,0,BBB0000002
00008000,"SGEF Brno, Holandská 859/3",0,AAA0000043
00008000,SGEF Bratislava,0,AAA0000044
00008000,"SGEF Hr. Králové, Čs.armády 449/31",0,AAA0000045
00008000,"SGEF Košice, Pri Prachárni 20",0,AAA0000046
00008000,"Amundi (IKS)  Sokolovská 115, Praha 8",0,AAA0000047
00008000,"SGEF Ostrava, Francouzská 6167/5",0,AAA0000048
00008000,Komerční banka Bratislava,0,AAA0000033
00008000,"Galéria mesta Bratislavy,Mirbachov palác",0,AAA0000034
00008000,"Lucemburská ul. 7/1170, 130 11 Praha 3",0,AAA0000035
00008000,"Praha 1, Ovocný trh 15, byt č. 3",0,AAA0000004
00008000,"Praha 1, Ovocný trh 15, byt č. 5",0,AAA0000010
00008000,"Praha 1, Štěpánská 42, byt. č. 5",0,AAA0000013
00008000,"Praha 1, Ovocný trh 15, byt č. 2",0,AAA0000017
00008000,"Praha 1, Ovocný trh 15, byt č. 4",0,AAA0000018
00008000,"Praha 1, Ovocný trh 15, byt č. 1",0,AAA0000024
00008000,"Praha 1, Štěpánská 42, byt č. 1",0,AAA0000027
00008000,"Praha 1, Štěpánská 42, studio č. 2",0,AAA0000028
00008000,"Praha 1, Štěpánská 42, byt č. 3",0,AAA0000029
00008000,"Praha 1, Štěpánská 42, studio č. 4",0,AAA0000030
00008000,"Praha 1, Václavské nám. 42, byt. č. 6",0,AAA0000031
00008000,"Chambon Guillaume, Praha 5, Rošických 4",0,AAA0000038
00008000,"Le Dirac´h Albert, Praha 2, Ibsenova 1",0,AAA0000041
00008000,"Loulergue Etienne, Praha 5, Zborovská 64",0,AAA0000042
00008000,Účtárna - rozdělení karet,0,AAA0000036
00008001,Fiktivní místnost,0,JAR0010000
00008001,Zádveří,1.01,JAR0010013
00008001,Bankovní hala,1.02,JAR0010014
00008001,Bezpečnostní předsíň,1.03,JAR0010015
00008001,Trezorová místnost,1.04,JAR0010016
00008001,Pracovna BAPO,1.05,JAR0010017
00008001,Pracovna ŘP,1.06,JAR0010018
00008001,Schodiště,SCH,JAR0010019
00008001,Chodba,01,JAR0010001
00008001,Klientské schránky,02,JAR0010002
00008001,Technická místnost,03,JAR0010003
00008001,Sklad,04,JAR0010004
00008001,Sklad,05,JAR0010005
00008001,Provozní zázemí,06,JAR0010006
00008001,Předsíň WC,07,JAR0010007
00008001,Předsíň WC ženy,08,JAR0010008
00008001,WC ženy,09,JAR0010009
00008001,Předsíň WC muži,10,JAR0010010
00008001,WC muži,11,JAR0010011
00008001,Úklidová komora,12,JAR0010012
00008002,FIKTIVNÍ MÍSTNOST,0,PHA0020000
00008002,Bankomat,010004,PHA0020006
00008002,bankovní hala,010005,PHA0020007
00008002,Sklad u vstupu na halu,B10005,PHA0020212
00008002,pokladní zázemí,010011,PHA0020008
00008002,pokladny OCD,010009,PHA0020009
00008002,diskrétní pokladna,010009B,PHA0020223
00008002,pokladna CCD,010009C,PHA0020224
00008002,chodba za pokladnami,010009D,PHA0020225
00008002,výtahová šachta pokladny,010016,PHA0020010
00008002,chodba pokladny,010010,PHA0020011
00008002,umývárna pokladny,010013A,PHA0020231
00008002,WC pokladny,010013B,PHA0020232
00008002,Schody do 1.patra,010018,PHA0020015
00008002,Kuchyňka hala,010008,PHA0020016
00008002,umývárna WC ženy,010019,PHA0020017
00008002,WC ženy,010019A,PHA0020226
00008002,WC ženy,010019B,PHA0020227
00008002,umývárna WC muži,010019C,PHA0020228
00008002,WC muži - pisoir,010019D,PHA0020229
00008002,WC muži,010019E,PHA0020230
00008002,Úklidová komora,010022,PHA0020018
00008002,Sklad hala,010007,PHA0020019
00008002,výtah listovní sklad hala,010020,PHA0020020
00008002,předsíň vnitřního výtahu,010021,PHA0020021
00008002,předsíň výtahu pokladny,010006,PHA0020022
00008002,jednací místnost - hala,010025,PHA0020233
00008002,jednací místnost u pokl.ú.,010024,PHA0020234
00008002,zádveří,010026,PHA0020235
00008002,chodba před pokl. úsekem,010027,PHA0020236
00008002,WC pokladníci,010024a,PHA0020237
00008002,Kuchyňka pokladníků,010024b,PHA0020238
00008002,Zázemí pokladníků,010024c,PHA0020239
00008002,Hala 1.patro,011101A,PHA0020027
00008002,Kancelář,011101B,PHA0020217
00008002,Kancelář,011101C,PHA0020218
00008002,Kancelář,011101D,PHA0020219
00008002,Kancelář,011101E,PHA0020220
00008002,Kancelář,011101F,PHA0020221
00008002,Kuchyňka 1.patro,011103,PHA0020028
00008002,WC Muži,011104,PHA0020029
00008002,WC Dámy,011106,PHA0020030
00008002,Úklidová místnost,011105,PHA0020031
00008002,Šatna,011107,PHA0020032
00008002,Učebna,011108,PHA0020033
00008002,Kancelář,011109,PHA0020034
00008002,Chodba,011102,PHA0020035
00008002,Učebna,011111,PHA0020036
00008002,Kancelář,011110,PHA0020216
00008002,Předsíň výtahu,011113,PHA0020037
00008002,Sklad,011112,PHA0020038
00008002,Sklad,011114,PHA0020039
00008002,Technická místnost,012224,PHA0020042
00008002,Velín Ostraha,012223,PHA0020043
00008002,WC Ostraha,012225,PHA0020044
00008002,Chodba 2.patro,012201A,PHA0020045
00008002,Chodba,012201B,PHA0020222
00008002,Kancelář,012222,PHA0020046
00008002,Kancelář,012221,PHA0020047
00008002,Kancelář,012220,PHA0020048
00008002,Kancelář,012219,PHA0020049
00008002,Kancelář,012218,PHA0020050
00008002,Kancelář,012202,PHA0020051
00008002,Sprchový kout,012203,PHA0020052
00008002,Kuchyňka,012204,PHA0020053
00008002,WC Muži 2.p.,012205,PHA0020054
00008002,WC ženy 2.p.,012207,PHA0020055
00008002,Úklidová komora,012206,PHA0020056
00008002,Kancelář,012208,PHA0020057
00008002,Kancelář,012209,PHA0020058
00008002,Kancelář,012210,PHA0020059
00008002,Kancelář,012211,PHA0020060
00008002,Kancelář,012214,PHA0020062
00008002,Kancelář,012215,PHA0020063
00008002,denní místnost,012216,PHA0020064
00008002,Sklad,012217,PHA0020065
00008002,Chodba,012212,PHA0020066
00008002,Výtah vnitřní,012226,PHA0020067
00008002,Chodba u mříže,051001,PHA0020159
00008002,Manipulace,051025,PHA0020169
00008002,Předtrezoří,051021,PHA0020170
00008002,Klíčníci,051024,PHA0020171
00008002,Počítárna mincí,051027,PHA0020172
00008002,Počítárna bankovek,051023,PHA0020173
00008002,WC počítárna,051022,PHA0020175
00008002,Šatna 1,051007,PHA0020177
00008002,Šatna 2,051008,PHA0020178
00008002,Šatna 3,051009,PHA0020179
00008002,Šatna 4,051010,PHA0020180
00008002,Spisovna,051011,PHA0020181
00008003,FIKTIVNÍ MÍSTNOST,0,PHA0030000
00008006,Fiktivní místnost,0,ZLI0060000
00008006,Kolárka,114,ZLI0060025
00008006,Vstupní hala,601,ZLI0060004
00008006,Technická místnost,608,ZLI0060005
00008006,Chodba,609,ZLI0060006
00008006,Hala 1,610-1,ZLI0060007
00008006,Hala 2,610-2,ZLI0060008
00008006,Čajová kuchyně,611-1,ZLI0060009
00008006,Čajová kuchyně,611-2,ZLI0060010
00008006,WC muži,612,ZLI0060011
00008006,Umývárna muži,613,ZLI0060012
00008006,Umývárna ženy,614,ZLI0060013
00008006,WC ženy,615,ZLI0060014
00008006,"Umývárna, WC ženy",616,ZLI0060015
00008006,Úklidová komora,617,ZLI0060016
00008006,Předsíň sprchy,618,ZLI0060017
00008006,Sprcha,619,ZLI0060018
00008006,Sklad,620,ZLI0060019
00008006,Kancelář,621,ZLI0060020
00008006,Kancelář ředitele,622,ZLI0060021
00008006,Učebna,623,ZLI0060022
00008006,Zasedací místnost,624,ZLI0060023
00008006,Zasedací místnost,625,ZLI0060024
00008008,FIKTIVNÍ MÍSTNOST,0,PHA0080000
00008008,ZÁDVEŘÍ,10101,PHA0080001
00008008,HALA,10102,PHA0080002
00008008,KANCELÁŘ,10103,PHA0080003
00008008,CHODBA,10104,PHA0080004
00008008,PŘEDSÍŇ,10105,PHA0080005
00008008,WC,10106,PHA0080006
00008008,DENNÍ MÍSTNOST,10107,PHA0080007
00008008,TREZORY,10108,PHA0080008
00008008,ÚKLID.KOMORA,10109,PHA0080009
00008008,SCHODIŠTĚ,51001,PHA0080015
00008008,CHODBA,51002,PHA0080016
00008008,CHODBA,51003,PHA0080017
00008008,PŘÍRUČNÍ ARCHIV,51004,PHA0080018
00008008,SKLAD PŘÍRUČNÍ,51005,PHA0080019
00008008,SKLAD,51006,PHA0080020
00008008,KOMORA,51007,PHA0080021
00008008,PŘEDSÍŇ,51008,PHA0080022
00008008,WC-MUŽI,51009,PHA0080023
00008008,KOTELNA,51010,PHA0080024
00008009,FIKTIVNÍ MÍSTNOST,0,PHA0090000
00008009,Vstup,10101,PHA0090002
00008009,Bankovní hala - pokladny,10103B,PHA0090031
00008009,Umývárna,10113,PHA0090005
00008009,Zasedací místnost,10104,PHA0090006
00008009,Bankovní hala - BaPo,10103A,PHA0090007
00008009,IT server,10112,PHA0090008
00008009,WC muži,10114,PHA0090009
00008009,Kancelář ředitele pobočky,10102,PHA0090010
00008009,Předtrezor,10106,PHA0090012
00008009,Pokladna velkých výplat,10107,PHA0090013
00008009,Pokladna,10105,PHA0090014
00008009,Umývárna,10116,PHA0090016
00008009,"Kuchyňka, denní místnost",10111,PHA0090017
00008009,Filtr,10108,PHA0090018
00008009,Sklad,10119,PHA0090019
00008009,Trezor,10109,PHA0090020
00008009,Sklad,10110,PHA0090032
00008009,Chodba,10115,PHA0090033
00008009,WC ženy,10117,PHA0090035
00008009,Úklidová místnost,10118,PHA0090034
00008011,FIKTIVNÍ MÍSTNOST,0,PHA0110000
00008015,FIKTIVNÍ MÍSTNOST,0,PHA0150000
00008015,vstup zádveří,11001,PHA0150001
00008015,hala,11002,PHA0150002
00008015,chodba,11003,PHA0150003
00008015,chodba,11004,PHA0150004
00008015,denní místnost,11005,PHA0150005
00008015,čajová kuchyň,11006,PHA0150006
00008015,umývárna,11007,PHA0150007
00008015,WC,11008,PHA0150008
00008015,úklidová komora,11009,PHA0150009
00008015,trezor + pokladna,11010,PHA0150010
00008015,zádveří,11011,PHA0150011
00008015,chodba,11012,PHA0150012
00008016,FIKTIVNÍ MÍSTNOST,0,PHA0160000
00008016,bankovní hala (2.02),11001,PHA0160001
00008016,kancelář (2.30),11001A,PHA0160029
00008016,kancelář (2.31),11001B,PHA0160030
00008016,Kancelář (2.29),11002,PHA0160002
00008016,Diskrétní pokladna,2.03,PHA0160003
00008016,pokladny OCD (2.05),11004,PHA0160004
00008016,denní místnost pokladny (2.09),11005,PHA0160005
00008016,šatna pokl. úseku (2.10),11006,PHA0160006
00008016,WC muži a imobilní (2.22),11007,PHA0160007
00008016,bezp. předsíň (2.13),11008,PHA0160008
00008016,strojovna výtahu (2.12),11009,PHA0160009
00008016,"Výtahová šachta, chodba, schodiště",11010,PHA0160010
00008016,sklad (2.17),11011,PHA0160011
00008016,technická místnost (2.18),11012,PHA0160012
00008016,zázemí pokladen (2.07),11013,PHA0160013
00008016,zasedací místnost (2.25),11014,PHA0160014
00008016,Kancelář (2.32),11015,PHA0160015
00008016,kancelář (2.27),11016,PHA0160016
00008016,zasedací méstnost (2.28),11017,PHA0160017
00008016,kancelář (2.26),11018,PHA0160018
00008016,chodba (2.24),11019,PHA0160019
00008016,sklad (2.19),11020,PHA0160020
00008016,úklidová místnost (2.21),11021,PHA0160021
00008016,"WC a umývárna pokl.ús. (2.11,2.11a)",11022,PHA0160022
00008016,"umývárna a WC ženy (2.23,2.23a,2.23b)",11023,PHA0160023
00008016,zádveří (2.01),11024,PHA0160024
00008016,bankomat,11025,PHA0160025
00008016,trezorová místnost (2.08),11026,PHA0160026
00008016,chodba zadní vchod,11101,PHA0160027
00008016,pokladna CCD (2.04),11003A,PHA0160031
00008016,chodba za pokladnami (2.06),11013A,PHA0160032
00008016,šatna a kuchyňka (2.20),11020,PHA0160028
00008018,FIKTIVNÍ MÍSTNOST,0,PHA0180000
00008018,zádveří,11001,PHA0180001
00008018,hala,11002,PHA0180002
00008018,ředitel pobočky,11003,PHA0180003
00008018,OCD,11004,PHA0180004
00008018,trez.skříň,11005,PHA0180005
00008018,WC s umývárnou,11006,PHA0180006
00008018,chodba,11007,PHA0180007
00008018,denní místnost,11008,PHA0180008
00008018,technická místnost,11009,PHA0180009
00008018,WC s umývárnou,11010,PHA0180010
00008018,chodba,11011,PHA0180011
00008018,úklid,11012,PHA0180012
00008018,chodba v pokl. úseku,11013,PHA0180013
00008021,FIKTIVNÍ MÍSTNOST,0,PHA0210000
00008021,chodba za pokladnami,0,PHA0210267
00008021,zádveří,0,PHA0210001
00008021,vestibul před halou,0,PHA0210002
00008021,chodba,012,PHA0210003
00008021,schodiště,013,PHA0210004
00008021,výtah,0,PHA0210005
00008021,velín ostrahy,014,PHA0210006
00008021,prostor pro ATM ve velíně,0,PHA0210263
00008021,WC ostrahy,011,PHA0210007
00008021,umývárna,0,PHA0210008
00008021,pokladna,0,PHA0210012
00008021,"služby klientům,hala",0,PHA0210014
00008021,kancelář řed.retail na hale,7,PHA0210266
00008021,"chodba u trezoru, za řed.retail",8,PHA0210276
00008021,chodba u komor.trezoru,0,PHA0210268
00008021,pokladna č.1,0,PHA0210015
00008021,část diskrét pokl.,0,PHA0210018
00008021,pokladna č.3,0,PHA0210019
00008021,pokladna č.2,0,PHA0210020
00008021,chodba,0,PHA0210021
00008021,výtah,0,PHA0210022
00008021,schodiště,004,PHA0210023
00008021,"umývárna, WC muži",005,PHA0210024
00008021,"umývárna,WC ženy",006,PHA0210025
00008021,předsíň,0,PHA0210026
00008021,"WC ženy, poklad.úsek",0,PHA0210027
00008021,"WC ženy, poklad.úsek",0,PHA0210028
00008021,"WC muži, poklad.úsek",0,PHA0210029
00008021,denní místnost,003,PHA0210030
00008021,podatelna,001,PHA0210031
00008021,"Instal.prostor,elektro silnproud",0,PHA0210032
00008021,Instal.prostor-VZT kanál,0,PHA0210033
00008021,Instal.prostor ve velíně,0,PHA0210034
00008021,"Inst.prostor,elektroslaboproud",0,PHA0210035
00008021,dvorana,0,PHA0210036
00008021,vstup,0,PHA0210037
00008021,rampa,0,PHA0210038
00008021,schodiště do objektu,0,PHA0210039
00008021,komor.trezor pro poklad.vozíky,0,PHA0210040
00008021,chodba-ochoz,0,PHA0210042
00008021,schodiště,100,PHA0210043
00008021,výtah,0,PHA0210044
00008021,umývárna u WC ženy,118,PHA0210045
00008021,WC,0,PHA0210046
00008021,WC,0,PHA0210047
00008021,WC,0,PHA0210048
00008021,úklid ve WC muži,0,PHA0210050
00008021,WC,0,PHA0210051
00008021,WC,0,PHA0210052
00008021,předsíň,0,PHA0210053
00008021,umývárna,117,PHA0210054
00008021,kancelář č. 116,116,PHA0210055
00008021,kancelář č.115,115,PHA0210056
00008021,kancelář č.114,114,PHA0210057
00008021,kancelář č. 113,113,PHA0210058
00008021,Kancelář ředitelka,0,PHA0210059
00008021,č.111,111,PHA0210060
00008021,server,111a,PHA0210061
00008021,předsíň,110,PHA0210062
00008021,kancelář č. 110,110a,PHA0210063
00008021,kancelář č. 109,109,PHA0210064
00008021,kancelář č. 108,108,PHA0210065
00008021,kancelář č. 107,107,PHA0210066
00008021,kuchyňka,106,PHA0210067
00008021,kancelář,105,PHA0210068
00008021,kancelář,104,PHA0210071
00008021,kancelář č. 103,103,PHA0210072
00008021,kancelář,102,PHA0210073
00008021,sklad kancelářských potřeb,101A,PHA0210074
00008021,kancelář,101,PHA0210075
00008021,Instal.prostor u 101,0,PHA0210076
00008021,Instal.prostor,0,PHA0210077
00008021,Instal.prostor,0,PHA0210078
00008021,Instal.prostor,0,PHA0210079
00008021,Instal.prostor,0,PHA0210080
00008021,Instal.prostor,0,PHA0210081
00008021,Instal.prostor,0,PHA0210082
00008021,Instal.prostor,0,PHA0210083
00008021,Instal.prostor-rozvaděč 1patro,0,PHA0210084
00008021,Instal.prostor,0,PHA0210085
00008021,Instal.prostor,0,PHA0210086
00008021,Květník na ochozu,0,PHA0210087
00008021,předsíň u 101,101,PHA0210088
00008021,zasedací místnost,218,PHA0210089
00008021,chodba,0,PHA0210090
00008021,schodiště,200,PHA0210091
00008021,výtah,0,PHA0210092
00008021,umývárna,217,PHA0210093
00008021,předsíň,0,PHA0210094
00008021,WC,0,PHA0210095
00008021,WC,0,PHA0210096
00008021,WC,0,PHA0210097
00008021,WC,0,PHA0210098
00008021,WC,0,PHA0210099
00008021,úklid ve WC muži,216,PHA0210100
00008021,umývárna,215,PHA0210101
00008021,kancelář č. 214,214,PHA0210102
