building,address
00008000,Neznámá
00008001,"Jaroměř, nám. ČSA 35, 55101"
00008002,"Praha 1, Spálená 108/51, 11000"
00008003,Neznámá
00008006,"Zlín, Štefánikova 167, 76030"
00008007,"Brno-Slatina, Přemyslovo nám. 26, 62700"
00008008,"Praha 3, Koněvova 91, 13000"
00008009,"Praha 3, Řipská 28, 13000"
00008011,"Praha 4, Nuselská 419/92, 14000"
00008014,"Praha 4, tř. 5. května 1640/65, 14009"
00008015,"Praha 4, Severozápadní 22, 14100"
00008016,"Praha 4, Novodvorská 7/434, 14200"
00008018,"Praha 4, Boleslavova 415/42, 14045"
00008021,"Praha 5, Štefánikova 267/22, 15047"
00008025,"Praha 6, Dejvická 189/5, 16059"
00008027,"Praha 6, Na Pískách 1363/97, 16000"
00008029,"Praha 7, U Průhonu 1516/32, 17004"
00008033,"Brno-Horní Heršpice, Holandská, budova C 874/8, 63900"
00008035,"Praha 9 - Horní Počernice, Náchodská 1880, 19300"
00008036,"Praha 3, Táboritská 1782, 13000"
00008037,"Praha 9 - Letňany, Beranových 130, 19900"
00008040,"Dobříš, Mírové nám. 1866, 26301"
00008043,"Praha 10, Na Kovárně 461/10, 10100"
00008048,"Sušice, Nám. Svobody 32, 34201"
00008049,"Ostrava-Poruba, Náměstí V. Vacka 6042, 70800"
00008051,"Praha 4-Libuš, Libušská 189/12, 14200"
00008053,"Benešov u Prahy, Tyršova 2077, 25601"
00008055,"Votice, Komenského 143, 25901"
00008056,"Beroun, Husovo nám. 64/35, 26663"
00008057,"Hořovice, Palackého nám. 1419/11, 26801"
00008059,"Kladno, nám. starosty Pavla 14, 27256"
00008063,"Kladno, Stříbrného 27, 27256"
00008065,"Kolín, Kutnohorská 273, 28078"
00008068,"Kutná Hora, Tylova 390, 28416"
00008069,"Čáslav, nám. Jana Žižky 249, 28601"
00008070,"Uhlířské Janovice, Václavské nám. 115, 28504"
00008071,"Mělník, nám. Míru 26, 27668"
00008073,"Neratovice, Mládežnická 97, 27711"
00008076,"Mladá Boleslav, Palackého 332/II, 29361"
00008078,"Mnichovo Hradiště, Víta Nejedlého 325, 29501"
00008080,"Nymburk, nám. Přemyslovců 166, 28831"
00008081,"Poděbrady, nám. Jiřího z Poděbrad 43/1, 29001"
00008085,"Příbram, nám. T.G. Masaryka 124, 26101"
00008086,"Praha 10, Vladivostocká 1460/2, 10000"
00008091,"Rakovník, Husovo nám. 22/1, 26901"
00008095,"České Budějovice, Česká 247/31, 37072"
00008096,"České Budějovice, Krajinská 248/15, 37072"
00008098,"Trhové Sviny, Žižkovo nám. 92, 37401"
00008099,"Týn nad Vltavou, Horní Brašov 264, 37501"
00008101,"Český Krumlov, Kaplická 439, 38134"
00008102,"Kaplice, Náměstí 215, 38241"
00008103,"Vyšší Brod, Náměstí 80, 38273"
00008106,"Jindřichův Hradec, Klášterská 140/II, 37741"
00008107,"Dačice, Palackého nám. 3/I, 38001"
00008111,"Pelhřimov, Palackého 77, 39347"
00008113,"Pacov, Náměstí Svobody 84, 39501"
00008115,"Kamenice nad Lipou, Vackova 97, 39470"
00008116,"Humpolec, Horní náměstí 301, 39601"
00008119,"Písek, Velké nám. 27, 39735"
00008122,"Prachatice, Vodňanská 375, 38301"
00008123,"Vimperk, 1. máje 491, 38501"
00008126,"Volary, Náměstí 34, 38451"
00008128,"Strakonice, Na Stráži 270, 38637"
00008131,"Vodňany, nám. Svobody 18, 38901"
00008132,"Volyně, Palackého nám. 109, 38701"
00008133,"Praha 9 - Vysočany, Freyova 945/35, 19000"
00008134,"Rumburk, Vrchlického 99/4, 40801"
00008135,"Tábor, Tyršova 521, 39058"
00008137,"Bechyně, Libušina 197, 39165"
00008139,"Soběslav, nám. Republiky 101/1, 39201"
00008141,"Plzeň, Goethova 2704/1, 30595"
00008143,"Plzeň, Klatovská 818/11, 30138"
00008144,"Pardubice - Magnum, třída Míru 2800, 53002"
00008146,"Domažlice, U Nemocnice 579, 34419"
00008147,"Horšovský Týn, Nádražní 65, 34601"
00008148,"Holýšov, Jiráskova 99, 34562"
00008149,"Kdyně, Náměstí 3, 34506"
00008150,"Cheb, Obrněné brigády 20, 35002"
00008151,"Mariánské Lázně, Hlavní 132, 35301"
00008153,"Praha 6 - Suchdol, Kamýcká 1077, 16521"
00008154,"Luhačovice, Masarykova 1072, 76326"
00008157,"Ostrov, Masarykova 1299, 36301"
00008158,"Nejdek, nám. Karla IV. 245, 36221"
00008159,"Brno - Řečkovice, Palackého tř. 186, 62100"
00008162,"Brno, Netroufalky 770/14, 62500"
00008164,"Klatovy, nám. Míru 166/1, 33919"
00008165,"Brno, Kounicova , 60200"
00008167,"Horažďovice, Havlíčkova 52, 34101"
00008170,"Hradec Králové, Na Okrouhlíku 1371, 50002"
00008171,"Přeštice, Mlýnská 1108, 33401"
00008172,"Nepomuk, nám. A. Němejce 151, 33501"
00008174,"Liberec, České mládeže 456, 46003"
00008175,"Stod, náměstí ČSA 24, 33301"
00008176,"Dobřany, Lidická 918, 33441"
00008180,"Blovice, Masarykovo nám. 143, 33601"
00008181,"Praha 1, Pohořelec 152, 11800"
00008183,"Brno, Purkyňova 93, 61200"
00008184,"Praha 4, Na Pankráci 86, 14000"
00008185,"Olomouc, Okružní 1300/19, 77900"
00008187,"Modřice, U dálnice 777, 66442"
00008188,"Chlumec nad Cidlinou, Klicperovo nám. 66, 50351"
00008189,"Praha 9, Českomoravská 2408/1a, 19000"
00008190,"Třeboň, Svobody 50/3, 37901"
00008191,"Bílovec, Městský kopec 66, 74301"
00008192,"Praha 4, Opatovská 964, 14900"
00008193,"Plzeň, Boettingerova 2902/26, 30100"
00008194,"Rokycany, Jiráskova 482/II, 33719"
00008197,"Sokolov, Boženy Němcové 1808, 35619"
00008198,"České Budějovice, České Vrbné 2360, 37011"
00008200,"Kraslice, Dukelská 1855, 35801"
00008201,"Chodov u Karlových Var, Hlavní 694, 35735"
00008202,"Tachov, Hornická 1786, 34701"
00008203,"Stříbro, Mánesova 447, 34901"
00008205,"Praha 5 - Motol, V Úvalu 84, 15000"
00008206,"Ústí nad Labem, Bílinská 175/2, 40042"
00008207,"Ústí nad Labem, Seifertova 4, 40331"
00008208,"Milovice, Armádní , 28924"
00008209,"Ústí nad Labem,  , 40001"
00008211,"Děčín, Masarykovo nám. 192/19, 40554"
00008214,"Dvůr Králové nad Labem, nám. T. G. Masaryka 58, 54401"
00008215,"Brno, Benešova 708/6b, 60200"
00008216,"Chomutov, Mánesova 136/16, 43029"
00008218,"Kadaň, Jana Švermy 11, 43201"
00008220,"Jirkov, nám. Dr. E. Beneše 1561, 43111"
00008221,"Klášterec nad Ohří, Polní 683, 43151"
00008224,"Tanvald, Krkonošská 168, 46841"
00008225,"Železný Brod, Masarykova 444, 46822"
00008226,"Jablonec nad Nisou, Jehlářská 2315/11, 46678"
00008228,"Liberec, 5. května 1357/2, 46177"
00008230,"Liberec, 8. března 14/22, 46177"
00008231,"Frýdlant v Čechách, nám. T.G. Masaryka 2, 46401"
00008232,"Jihlava, Masarykovo nám. 1190/43, 58601"
00008234,"Nový Bydžov, Masarykovo nám. 1459, 50401"
00008235,"Brandýs nad Labem, Masarykovo nám. 1960, 25001"
00008238,"Letovice, Masarykovo nám. 1065/11, 67961"
00008239,"Brno - Líšeň, Bednaříkova 2883/1b, 62800"
00008240,"Žatec, Obránců míru 236, 43838"
00008243,"Louny, Komenského nám. 2661, 44001"
00008245,"Litvínov, nám. Míru 173, 43601"
00008246,"Most, Višňová 666/28, 43401"
00008248,"Teplice, Mírové nám. 2970, 41561"
00008249,"Teplice, U Divadla 25/2, 41561"
00008250,"Krupka, Komenského 65/2, 41742"
00008252,"Bílina, Mírové náměstí 89, 41801"
00008253,"Hradec Králové, nám. Osvoboditelů 798, 50216"
00008254,"Hradec Králové, Čelakovského 642, 50216"
00008260,"Třebechovice pod Orebem, Masarykovo nám. 18, 50346"
00008261,"Hradec Králové, Divišova 757, 50216"
00008262,"Havlíčkův Brod, Havlíčkovo nám. 93, 58026"
00008263,"Chotěboř, nám. T.G. Masaryka 54, 58301"
00008265,"Ledeč nad Sázavou, Husovo nám. 68, 58401"
00008266,"Světlá nad Sázavou, nám. Trčků z Lípy 995, 58291"
00008269,"Praha 4, Antala Staška 2059, 14000"
00008271,"Chrudim, Široká 83, 53750"
00008273,"Hlinsko v Čechách, Adámkova 190, 53901"
00008274,"Skuteč, Heydukova 429, 53973"
00008276,"Chrast u Chrudimi, Na Náměstí 161, 53851"
00008277,"Třemošnice, 1. máje 56, 53843"
00008278,"Jičín, 17. listopadu 1074, 50642"
00008279,"Hořice v Podkrkonoší, nám. Jiřího z Poděbrad 236, 50801"
00008281,"Sobotka, Boleslavská 440, 50743"
00008282,"Nová Paka, Masarykovo nám. 1, 50901"
00008283,"Lázně Bělohrad, Lázeňská 151, 50781"
00008284,"Náchod, Palackého 20, 54747"
00008287,"Broumov, Mírové náměstí 56, 55001"
00008289,"Police nad Metují, Kostelní 99, 54954"
00008290,"Hronov, nám. ČSA 4, 54931"
00008291,"Červený Kostelec, 17. listopadu 160, 54941"
00008292,"Litovel, 1. máje 750/1A, 78401"
00008293,"Pardubice, Nám. Republiky 222, 53078"
00008300,"Rychnov nad Kněžnou, Staré nám. 65, 51618"
00008302,"Týniště nad Orlicí, 17. listopadu 970, 51721"
00008303,"Kostelec nad Orlicí, Palackého nám. 22, 51741"
00008306,"Dobruška, nám. F.L. Věka 11, 51801"
00008307,"Praha 1, Havlíčkova 1682/15, 11000"
00008308,"Třebíč, Karlovo nám. 17/11, 67401"
00008310,"Semily, Nádražní 24, 51312"
00008312,"Turnov, Palackého 192, 51101"
00008313,"Rokytnice nad Jizerou, Náměstí 162, 51244"
00008315,"Sezimovo Ústí, nám. Tomáše Bati 417/12, 39102"
00008316,"Lomnice nad Popelkou, Antala Staška 182, 51251"
00008317,"Karviná, Masarykovo nám. 6, 73301"
00008319,"Turnov, Palackého 192, 51101"
00008320,"Svitavy, nám. Míru 29/87, 56816"
00008322,"Litomyšl, Smetanovo nám. 31, 57001"
00008323,"Moravská Třebová, nám. T.G. Masaryka 146/26, 57101"
00008324,"Polička, Palackého nám. 2, 57201"
00008325,"Jevíčko, Palackého nám. 33, 56943"
00008326,"Trutnov, Horská 634, 54172"
00008335,"Ústí nad Orlicí, T.G. Masaryka 418, 56222"
00008337,"Žamberk, nám. T.G. Masaryka 169, 56401"
00008338,"Vysoké Mýto, Tůmova 180/I, 56601"
00008339,"Lanškroun, Nádražní 87, 56301"
00008340,"Choceň, Tyršovo nám. 141, 56501"
00008341,"Česká Třebová, Staré náměstí 33, 56002"
00008342,"Králíky, 5. května 270, 56169"
00008344,"Letohrad, Václavské nám. 76, 56151"
00008346,"Brno, nám. Svobody 92/21, 63131"
00008347,"Kuřim, Legionářská 719, 66434"
00008349,"Brno, Dubová 13, 15, 17, 63131"
00008350,"Mladá Boleslav, Havlíčkova 1307, 29301"
00008355,"Blansko, nám. Republiky 1262/3, 67814"
00008356,"Boskovice, 17. listopadu 2185/19, 68011"
00008358,"Oprava, U Fortny 49/10, 74601"
00008359,"Brno, Kobližná 683/3, 63132"
00008361,"Tišnov, Komenského nám. 124, 66601"
00008363,"Český Brod, Jana Kouly 1480, 28201"
00008364,"Ivančice, Komenského nám. 79/12, 66491"
00008365,"Slaný, Třebízského 1953, 27401"
